               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058349,              0.0293,                   0,             0.90023,             0.97116,             0.97957,             0.66732,            0.031017,            0.014426,                   0,            0.070021,            0.003331,            0.003331
                   1,             0.03799,            0.018282,                   0,             0.98898,             0.99765,             0.99457,             0.67627,            0.023386,            0.013036,                   0,            0.039955,           0.0065983,           0.0065983
                   2,            0.033478,            0.016223,                   0,                   1,              0.9998,               0.995,             0.73701,            0.020528,            0.012313,                   0,           0.0098232,           0.0097997,           0.0097997
                   3,            0.028419,            0.015076,                   0,             0.99941,             0.99933,               0.995,             0.80699,            0.015953,            0.011481,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.024613,            0.014157,                   0,             0.99903,             0.99941,               0.995,             0.82224,            0.015861,            0.010848,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.022318,             0.01336,                   0,             0.99973,             0.99882,               0.995,             0.83739,            0.014914,            0.010581,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.020491,            0.012866,                   0,             0.99992,                   1,               0.995,             0.83125,            0.014031,            0.010725,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.019036,            0.012631,                   0,             0.99848,             0.99941,             0.99498,             0.81998,            0.015297,             0.01071,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.017781,            0.012343,                   0,             0.99941,             0.99978,             0.99496,             0.83806,             0.01382,            0.010112,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.017157,            0.011989,                   0,             0.99932,                   1,               0.995,             0.84538,            0.013339,           0.0099234,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.016582,             0.01181,                   0,             0.99981,                   1,               0.995,             0.83236,            0.014331,            0.010196,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.015985,            0.011497,                   0,             0.99996,                   1,               0.995,             0.85747,            0.012565,           0.0098199,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.015606,            0.011359,                   0,             0.99987,                   1,               0.995,             0.85993,            0.012463,           0.0099349,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.015049,            0.010963,                   0,             0.99996,                   1,               0.995,             0.85847,            0.012679,            0.009706,                   0,            0.008812,            0.008812,            0.008812
